Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Nhiễm nấm,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,,,,,,,,,,,,,,
Nhiễm nấm,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,dischromic  patches,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,,,,,,,,,,,,,,
Nhiễm nấm,ngứa,phát ban,nổi mẩn đỏ,dischromic  patches,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,,,,,,,,,,,,,,
Dị ứng,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,chảy nước mắt,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,,,,,,,,,,,,,,
Dị ứng,hắt hơi liên tục,run rẩy,ớn lạnh,chảy nước mắt,,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,,,,,,,,,,,,
Trào ngược dạ dày,axit dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,loét lưỡi,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,nôn mửa,ho,đau ngực,,,,,,,,,,,,
Trào ngược dạ dày,đau dạ dày,axit dạ dày,loét lưỡi,ho,đau ngực,,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Ứ mật mãn tính,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,chán ăn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,đau bụng,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,vàng mắt,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Ứ mật mãn tính,ngứa,nôn mửa,vàng da,buồn nôn,chán ăn,đau bụng,vàng mắt,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,
Phản ứng thuốc,ngứa,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,đau dạ dày,tiểu buốt,,,,,,,,,,,,,
Phản ứng thuốc,phát ban,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,đau dạ dày,tiểu buốt,spotting  urination,,,,,,,,,,,,,
Phản ứng thuốc,ngứa,phát ban,tiểu buốt,spotting  urination,,,,,,,,,,,,,
