Symptom,weight
ngứa,1
phát ban,3
nổi mẩn đỏ,4
hắt hơi liên tục,4
run rẩy,5
ớn lạnh,3
đau khớp,3
đau dạ dày,5
axit dạ dày,3
loét lưỡi,4
teo cơ,3
nôn mửa,5
tiểu buốt,6
tiểu lắt nhắt,6
mệt mỏi,4
tăng cân,3
lo âu,4
tay chân lạnh,5
thay đổi tâm trạng,3
giảm cân,3
bồn chồn,5
lờ đờ,2
mảng bám cổ họng,6
đường huyết bất thường,5
ho,4
sốt cao,7
mắt trũng,3
khó thở,4
đổ mồ hôi,3
mất nước,4
khó tiêu,5
đau đầu,3
vàng da,3
nước tiểu sẫm màu,4
buồn nôn,5
chán ăn,4
đau sau mắt,4
đau lưng,3
táo bón,4
đau bụng,4
tiêu chảy,6
sốt nhẹ,5
nước tiểu vàng,4
vàng mắt,4
suy gan cấp tính,6
fluid overload,6
sưng bụng,7
sưng hạch bạch huyết,6
khó chịu,6
tầm nhìn mờ,5
đờm,5
kích ứng họng,4
đỏ mắt,5
áp lực xoang,4
sổ mũi,5
nghẹt mũi,5
đau ngực,7
yếu chi,7
nhịp tim nhanh,5
đau khi đi tiêu,5
đau hậu môn,6
phân có máu,5
kích ứng hậu môn,6
đau cổ,5
chóng mặt,4
chuột rút,4
bầm tím,4
béo phì,4
sưng chân,5
sưng mạch máu,5
sưng mặt và mắt,5
tuyến giáp to,6
móng tay giòn,5
sưng chi,5
đói quá mức,4
extra marital contacts,5
khô tê môi,4
nói ngọng,4
đau đầu gối,3
đau khớp háng,2
yếu cơ,2
cứng cổ,4
sưng khớp,5
cứng cử động,5
quay cuồng,6
mất thăng bằng,4
không vững,4
weakness of one body side,4
mất khứu giác,3
khó chịu bàng quang,4
foul smell ofurine,5
liên tục buồn tiểu,6
xì hơi,5
ngứa bên trong,4
vẻ mặt nhiễm độc,5
trầm cảm,3
dễ kích động,2
đau cơ,2
rối loạn tri giác,2
đốm đỏ toàn thân,3
đau bụng dưới,4
kinh nguyệt bất thường,6
mảng da đổi màu,6
chảy nước mắt,4
increased appetite,5
đái nhiều,4
tiền sử gia đình,5
đờm nhầy,4
đờm rỉ sắt,4
mất tập trung,3
rối loạn thị giác,3
receiving blood transfusion,5
receiving unsterile injections,2
coma,7
stomach bleeding,6
distention of abdomen,4
history of alcohol consumption,5
fluid overload,4
máu trong đờm,5
prominent veins on calf,6
đánh trống ngực,4
đi lại đau đớn,2
mụn mủ,2
mụn đầu đen,2
vảy da,2
bong tróc da,3
bụi bạc trên da,2
vết lõm nhỏ trên móng,2
viêm móng,2
mụn nước,4
loét đỏ quanh mũi,2
rỉ dịch vàng,3
prognosis,5
