Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Phản ứng thuốc,ngừng kích ứng,đến bệnh viện gần nhất,ngừng dùng thuốc,theo dõi thêm
Sốt rét,Consult nearest hospital,tránh đồ dầu mỡ,tránh thịt,diệt muỗi
Dị ứng,bôi thuốc Calamine,băng bó vết thương,,chườm đá giảm ngứa
Suy giáp,giảm căng thẳng,tập thể dục,ăn uống lành mạnh,ngủ đủ giấc
Vảy nến,rửa tay nước ấm,stop bleeding using pressure,consult doctor,tắm nước muối
Trào ngược dạ dày,tránh đồ cay nóng dầu mỡ,avoid lying down after eating,duy trì cân nặng,tập thể dục
Ứ mật mãn tính,tắm nước lạnh,dùng thuốc chống ngứa,consult doctor,ăn uống lành mạnh
hepatitis A,Consult nearest hospital,wash hands through,tránh đồ cay nóng dầu mỡ,dùng thuốc theo đơn
Thoái hóa khớp,acetaminophen,đến bệnh viện gần nhất,theo dõi thêm,tắm nước muối
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Hạ đường huyết,lie down on side,check in pulse,drink sugary drinks,consult doctor
Mụn trứng cá,bath twice,tránh đồ cay nóng dầu mỡ,uống nhiều nước,avoid too many products
Tiểu đường,have balanced diet,tập thể dục,consult doctor,theo dõi thêm
Chốc lở,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
Cao huyết áp,meditation,tắm nước muối,giảm căng thẳng,ngủ đủ giấc
Viêm loét dạ dày,tránh đồ cay nóng dầu mỡ,consume probiotic food,eliminate milk,limit alcohol
Bệnh trĩ,tránh đồ cay nóng dầu mỡ,consume witch hazel,warm bath with epsom salt,consume alovera juice
Cảm lạnh thông thường,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Thủy đậu,use neem in bathing,consume neem leaves,take vaccine,avoid public places
Cervical spondylosis,use heating pad or cold pack,tập thể dục,take otc pain reliver,consult doctor
Cường giáp,ăn uống lành mạnh,mát-xa,use lemon balm,take radioactive iodine treatment
Nhiễm trùng đường tiết niệu,uống nhiều nước,increase vitamin c intake,drink cranberry juice,take probiotics
Suy giãn tĩnh mạch,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
HIV/AIDS,avoid open cuts,wear ppe if possible,consult doctor,theo dõi thêm
Paralysis (brain hemorrhage),mát-xa,ăn uống lành mạnh,tập thể dục,consult doctor
Sốt thương hàn,eat high calorie vegitables,antiboitic therapy,consult doctor,dùng thuốc theo đơn
Viêm gan B,đến bệnh viện gần nhất,tiêm chủng,ăn uống lành mạnh,dùng thuốc theo đơn
Nhiễm nấm,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Viêm gan C,Consult nearest hospital,tiêm chủng,ăn uống lành mạnh,dùng thuốc theo đơn
Đau nửa đầu,meditation,giảm căng thẳng,use poloroid glasses in sun,consult doctor
Hen phế quản,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Viêm gan do rượu,stop alcohol consumption,consult doctor,dùng thuốc theo đơn,theo dõi thêm
Vàng da,uống nhiều nước,uống cây kế sữa,ăn trái cây và chất xơ,dùng thuốc theo đơn
Viêm gan E,stop alcohol consumption,nghỉ ngơi,consult doctor,dùng thuốc theo đơn
Sốt xuất huyết,drink papaya leaf juice,tránh đồ cay nóng dầu mỡ,keep mosquitos away,giữ nước cho cơ thể
Viêm gan D,consult doctor,dùng thuốc theo đơn,ăn uống lành mạnh,theo dõi thêm
Nhồi máu cơ tim,gọi cấp cứu,nhai hoặc nuốt aspirin,giữ bình tĩnh,
Viêm phổi,consult doctor,dùng thuốc theo đơn,nghỉ ngơi,theo dõi thêm
Viêm khớp,tập thể dục,use hot and cold therapy,try acupuncture,mát-xa
Viêm dạ dày ruột,stop eating solid food for while,try taking small sips of water,nghỉ ngơi,ease back into eating
Lao phổi,cover mouth,consult doctor,dùng thuốc theo đơn,nghỉ ngơi
